OCCUR_DATE,OCCUR_TIME,BORO,X_COORD_CD,Y_COORD_CD,GRID_ID
2006-01-18,21:08:00,BROOKLYN,1006313.0,188918.0,60_42
2006-01-18,02:30:00,BROOKLYN,986228.8125,148310.8125,47_15
2006-01-19,20:23:00,MANHATTAN,1001065.3125,234581.828125,57_72
2006-01-19,19:49:00,QUEENS,1031837.125,192116.609375,77_44
2006-01-19,21:27:00,MANHATTAN,1000562.0,237573.4375,57_74
2006-01-19,18:12:00,BROOKLYN,1021008.5625,182982.65625,70_38
2006-01-19,20:23:00,MANHATTAN,1001065.3125,234581.828125,57_72
2006-01-19,20:23:00,MANHATTAN,1001065.3125,234581.828125,57_72
2006-01-19,14:37:00,STATEN ISLAND,942446.875,170870.296875,18_30
2006-01-19,09:00:00,BRONX,1010979.3125,250552.59375,64_83
2006-01-19,20:23:00,MANHATTAN,1001065.3125,234581.828125,57_72
2006-01-20,22:37:00,MANHATTAN,994070.0625,231490.03125,52_70
2006-01-20,02:15:00,BROOKLYN,1001423.625,190906.203125,57_43
2006-01-21,23:27:00,BRONX,1015121.3125,242643.734375,66_77
2006-01-21,12:10:00,BROOKLYN,989523.0,191958.0,49_44
2006-01-21,21:49:00,MANHATTAN,996400.8125,233385.21875,54_71
2006-01-21,05:15:00,STATEN ISLAND,963422.0,167209.0,32_27
2006-01-21,03:45:00,BRONX,1011588.375,247980.546875,64_81
2006-01-22,03:15:00,BRONX,1016041.8125,249486.21875,67_82
2006-01-22,03:30:00,BROOKLYN,999670.75,173730.671875,56_31
2006-01-22,14:52:00,BRONX,1012743.9375,241940.8125,65_77
2006-01-22,02:30:00,BROOKLYN,1006499.5,182539.359375,61_37
2006-01-22,22:53:00,BRONX,1010628.3125,240596.078125,63_76
2006-01-22,01:33:00,BROOKLYN,1003875.3125,179582.03125,59_35
2006-01-22,01:33:00,BROOKLYN,1003875.3125,179582.03125,59_35
2006-01-22,21:45:00,MANHATTAN,999358.0,236472.0,56_73
2006-01-22,01:50:00,BRONX,1024649.5625,266580.3125,73_93
2006-01-22,00:10:00,QUEENS,1050394.0,181349.0,90_37
2006-01-23,17:29:00,BROOKLYN,1010060.25,181944.109375,63_37
2006-01-23,22:37:00,BRONX,1017541.5625,255918.875,68_86
2006-01-23,19:25:00,MANHATTAN,993606.0,230653.0,52_69
2006-01-24,20:00:00,BROOKLYN,998941.0,174363.0,56_32
2006-01-24,03:45:00,QUEENS,1055423.0,195488.0,93_46
2006-01-24,18:50:00,BRONX,1014260.1875,256172.21875,66_86
2006-01-25,10:30:00,BRONX,1017771.6875,240710.28125,68_76
2006-01-25,16:30:00,QUEENS,1044047.875,156642.640625,86_20
2006-01-25,10:30:00,BRONX,1017771.6875,240710.28125,68_76
2006-01-25,10:30:00,BRONX,1017771.6875,240710.28125,68_76
2006-01-26,20:07:00,BROOKLYN,1003927.0,186763.0,59_40
2006-01-28,00:26:00,BROOKLYN,1010184.0625,182784.96875,63_38
2006-01-28,03:00:00,BRONX,1016133.3125,252002.140625,67_84
2006-01-28,03:05:00,BROOKLYN,1008772.8125,188725.984375,62_41
2006-01-28,12:00:00,BRONX,1016391.0,249523.0,67_82
2006-01-29,05:00:00,MANHATTAN,985473.6875,209471.90625,47_55
2006-01-29,02:30:00,BRONX,1007007.5625,244833.984375,61_79
2006-01-29,02:42:00,BRONX,1011257.0,261130.0,64_90
2006-01-29,01:12:00,QUEENS,1057766.75,203992.53125,95_52
2006-01-30,20:05:00,BROOKLYN,1009917.625,186061.703125,63_40
2006-01-30,22:45:00,BROOKLYN,1009534.1875,179224.578125,63_35
2006-01-30,10:28:00,BROOKLYN,1007627.5,183444.609375,61_38
2006-01-31,12:00:00,QUEENS,1051311.0,198772.0,90_48
2006-01-31,15:00:00,BROOKLYN,1006965.0,193571.0,61_45
2006-02-01,16:35:00,BROOKLYN,976818.9375,165195.59375,41_26
2006-02-01,21:46:00,QUEENS,1043236.6875,156382.453125,85_20
2006-02-01,05:05:00,MANHATTAN,1000647.4375,249440.53125,57_82
2006-02-01,05:00:00,BRONX,1028201.0,258485.0,75_88
2006-02-01,01:30:00,BRONX,1026381.75,237308.859375,74_74
2006-02-01,01:30:00,BRONX,1026381.75,237308.859375,74_74
2006-02-01,18:11:00,QUEENS,1041708.75,196834.9375,84_47
2006-02-02,13:46:00,BROOKLYN,979293.625,172285.328125,42_31
2006-02-02,17:37:00,BROOKLYN,995688.25,182817.140625,53_38
2006-02-03,00:59:00,MANHATTAN,1000828.125,240292.78125,57_76
2006-02-03,05:48:00,MANHATTAN,1001567.625,240181.25,57_76
2006-02-04,03:30:00,BRONX,1024146.4375,234783.234375,72_72
2006-02-04,03:30:00,BRONX,1024146.4375,234783.234375,72_72
2006-02-04,03:30:00,BRONX,1024146.4375,234783.234375,72_72
2006-02-04,20:10:00,QUEENS,1050396.75,199787.140625,90_49
2006-02-04,07:30:00,MANHATTAN,1001265.125,246673.84375,57_80
2006-02-04,19:23:00,MANHATTAN,984984.1875,200115.9375,46_49
2006-02-04,19:23:00,MANHATTAN,984984.1875,200115.9375,46_49
2006-02-04,03:30:00,BRONX,1024146.4375,234783.234375,72_72
2006-02-04,20:16:00,QUEENS,1038785.25,192447.703125,82_44
2006-02-04,02:50:00,BRONX,1018384.0,256577.25,68_87
2006-02-05,13:08:00,MANHATTAN,1001519.5,238402.34375,57_75
2006-02-05,12:50:00,QUEENS,1025768.0,195085.0,73_46
2006-02-05,00:25:00,BROOKLYN,997835.1875,206736.75,55_53
2006-02-05,06:07:00,BROOKLYN,1006774.9375,188441.390625,61_41
2006-02-05,01:30:00,BRONX,1004839.75,234488.203125,59_72
2006-02-05,12:50:00,QUEENS,1025768.0,195085.0,73_46
2006-02-05,22:00:00,BROOKLYN,1012786.9375,176018.34375,65_33
2006-02-06,11:12:00,QUEENS,1054864.5,162012.9375,93_24
2006-02-06,11:12:00,QUEENS,1054864.5,162012.9375,93_24
2006-02-07,02:32:00,MANHATTAN,999794.0,241252.0,56_76
2006-02-08,21:00:00,BROOKLYN,1016409.375,178125.484375,67_34
2006-02-08,23:45:00,BROOKLYN,1001244.5625,185808.421875,57_40
2006-02-09,11:55:00,QUEENS,1025246.0,192031.0,73_44
2006-02-09,14:55:00,QUEENS,1046692.875,194050.046875,87_45
2006-02-10,20:25:00,MANHATTAN,1000068.375,237698.15625,56_74
2006-02-10,22:47:00,BROOKLYN,995793.0,173152.0,53_31
2006-02-10,20:25:00,MANHATTAN,1000068.375,237698.15625,56_74
2006-02-11,04:15:00,BRONX,1014828.0,253744.0,66_85
2006-02-11,01:00:00,BRONX,1003306.0625,233724.015625,58_71
2006-02-11,01:22:00,MANHATTAN,998746.0,229343.0,55_69
2006-02-11,05:07:00,BROOKLYN,997933.125,189148.515625,55_42
2006-02-12,22:29:00,BROOKLYN,1010982.8125,174326.71875,64_32
2006-02-12,12:21:00,QUEENS,1007694.25,219656.640625,61_62
2006-02-13,11:10:00,MANHATTAN,999358.0,236472.0,56_73
2006-02-13,00:48:00,BROOKLYN,1003337.3125,179537.34375,58_35
2006-02-14,14:35:00,QUEENS,1038550.375,190313.703125,82_43
2006-02-14,14:35:00,QUEENS,1038550.375,190313.703125,82_43
2006-02-15,11:45:00,STATEN ISLAND,961161.1875,161117.328125,30_23
2006-02-15,23:40:00,BROOKLYN,1006932.4375,194749.484375,61_45
2006-02-15,00:42:00,BROOKLYN,1007277.0,187698.0,61_41
2006-02-16,02:25:00,BROOKLYN,1006975.75,184974.1875,61_39
2006-02-16,12:35:00,BRONX,1011837.0625,239059.390625,64_75
2006-02-17,23:57:00,BRONX,1011153.25,235311.59375,64_73
2006-02-17,03:58:00,BROOKLYN,1000919.1875,195651.578125,57_46
2006-02-17,03:58:00,BROOKLYN,1000919.1875,195651.578125,57_46
2006-02-17,00:01:00,BRONX,1011881.0,250411.0,64_83
2006-02-17,01:16:00,QUEENS,1033026.0,216176.0,78_60
2006-02-17,11:40:00,QUEENS,1052769.0,185161.96875,91_39
2006-02-17,12:14:00,BROOKLYN,990097.625,192780.875,50_44
2006-02-17,23:57:00,BRONX,1011153.25,235311.59375,64_73
2006-02-17,16:43:00,QUEENS,1005927.125,202234.28125,60_50
2006-02-17,23:57:00,BRONX,1011153.25,235311.59375,64_73
2006-02-17,23:57:00,BRONX,1011153.25,235311.59375,64_73
2006-02-18,04:10:00,BRONX,1007626.75,233260.234375,61_71
2006-02-18,22:04:00,BROOKLYN,999281.6875,192768.875,56_44
2006-02-19,02:35:00,QUEENS,1059554.125,185033.171875,96_39
2006-02-19,00:59:00,BROOKLYN,1007094.6875,163112.59375,61_24
2006-02-19,00:25:00,BROOKLYN,1001290.9375,186474.25,57_40
2006-02-19,12:19:00,BROOKLYN,1005166.0,186675.0,60_40
2006-02-19,19:49:00,BRONX,1022463.75,241868.328125,71_77
2006-02-19,02:35:00,QUEENS,1059554.125,185033.171875,96_39
2006-02-19,00:25:00,BROOKLYN,1001290.9375,186474.25,57_40
2006-02-19,13:57:00,MANHATTAN,993290.3125,230079.125,52_69
2006-02-19,06:22:00,BROOKLYN,1017141.0,183798.0,68_38
2006-02-19,03:48:00,BROOKLYN,1014264.8125,182477.84375,66_37
2006-02-20,02:00:00,MANHATTAN,1000208.8125,230356.4375,56_69
2006-02-20,01:30:00,MANHATTAN,998430.9375,228773.8125,55_68
2006-02-21,17:08:00,QUEENS,1047629.4375,185969.25,88_40
