date,tourists
2011-03-01,23410548
2011-04-01,29511328
2011-05-01,30952446
2011-06-01,39993121
2011-07-01,55364820
2011-08-01,63934663
2011-09-01,42069620
2011-10-01,31139761
2011-11-01,19394365
2011-12-01,17999529
2012-01-01,17377536
2012-02-01,19006446
2012-03-01,22804233
2012-04-01,27801602
2012-05-01,30860605
2012-06-01,39565705
2012-07-01,54599312
2012-08-01,62362414
2012-09-01,41988326
2012-10-01,30276552
2012-11-01,18641630
2012-12-01,17386615
2013-01-01,16507093
2013-02-01,17778666
2013-03-01,25276019
2013-04-01,24384309
2013-05-01,33427068
2013-06-01,40475353
2013-07-01,54757896
2013-08-01,63578378
2013-09-01,42582527
2013-10-01,31578463
2013-11-01,20112666
2013-12-01,18753548
2014-01-01,17804108
2014-02-01,18854247
2014-03-01,23880671
2014-04-01,29508184
2014-05-01,34106170
2014-06-01,41839236
2014-07-01,54930466
2014-08-01,65596903
2014-09-01,44429304
2014-10-01,33334062
2014-11-01,20117388
2014-12-01,19320923
2015-01-01,18350844
2015-02-01,19580030
2015-03-01,24498625
2015-04-01,30418005
2015-05-01,35289945
2015-06-01,42564712
2015-07-01,58328813
2015-08-01,68264938
2015-09-01,46035195
2015-10-01,36088409
2015-11-01,21252580
2015-12-01,20786993
2016-01-01,19905363
2016-02-01,22064716
2016-03-01,29883131
2016-04-01,29978833
2016-05-01,39181694
2016-06-01,46041801
2016-07-01,62823799
2016-08-01,71377518
2016-09-01,49297403
2016-10-01,39386844
2016-11-01,22852885
2016-12-01,22163263
2017-01-01,20965611
2017-02-01,22228558
2017-03-01,27009694
2017-04-01,37314848
2017-05-01,40673344
2017-06-01,49401484
2017-07-01,64460774
2017-08-01,72232990
2017-09-01,50785839
2017-10-01,39974409
2017-11-01,23415315
2017-12-01,22610808
2018-01-01,21025900
2018-02-01,22300300
2018-03-01,29696263
2018-04-01,33137886
2018-05-01,41156055
2018-06-01,48462576
2018-07-01,62559522
2018-08-01,71128646
2018-09-01,50290936
2018-10-01,39992450
2018-11-01,24225604
2018-12-01,22964580
2019-01-01,20953296
2019-02-01,22204945
2019-03-01,28293281
2019-04-01,35664220
2019-05-01,41012999
2019-06-01,50026917
2019-07-01,63044515
2019-08-01,72418691
2019-09-01,50026713
2019-10-01,38699293
2019-11-01,24216601
2019-12-01,23251964
2020-01-01,21539039
2020-02-01,23579845
2020-03-01,10975525
